Model,Identifier,Accuracy,Balanced_Accuracy,F1_Score,Matthews_Corrcoef
gcn,small_0.000010,0.8389553862894451,0.5403881449177975,0.17318435754189945,0.14509629642118216
graphsage_maxpool,small_0.000010,0.8590859630032645,0.5785180918684303,0.27450980392156865,0.2838490536546745
graphsage_mean,small_0.000010,0.8677910772578891,0.6215701332748214,0.381679389312977,0.36578420457227045
graphsage_meanpool,small_0.000010,0.8677910772578891,0.6317777366365193,0.4029484029484029,0.3753464849830071
graphsage_seq,small_0.000010,0.8759521218715995,0.6555516699922517,0.4545454545454546,0.4262748394910937
n2v,small_0.000010,0.8427638737758433,0.5003474150718715,0.0136518771331058,0.003104810566461088
