Model,Class,Accuracy,Balanced_Accuracy,F1_Score,Matthews_Corrcoef,Roc_Auc,Precision,Recall
1,gcn,0.8405875952121872,0.5063540388144918,0.04560260586319219,0.03872679483024211,0.5063540388144918,0.2692307692307692,0.02491103202846975
2,gcn,0.8307943416757345,0.516614211562065,0.10374639769452448,0.06426927069799436,0.516614211562065,0.2727272727272727,0.06405693950177936
3,gcn,0.8443960826985855,0.5377665325004514,0.1588235294117647,0.15421286098358775,0.5377665325004514,0.4576271186440678,0.09608540925266904
4,gcn,0.8378672470076169,0.5237053645915474,0.1183431952662722,0.09842483910995165,0.5237053645915473,0.3508771929824561,0.0711743772241993
1,graphsage_maxpool,0.8405875952121872,0.5005211226078072,0.020066889632107024,0.0038088636837863787,0.5005211226078072,0.16666666666666666,0.010676156583629894
2,graphsage_maxpool,0.8335146898803046,0.5342603830251167,0.15934065934065933,0.11875231079834238,0.5342603830251168,0.3493975903614458,0.10320284697508897
3,graphsage_maxpool,0.8411316648531012,0.5285486049684927,0.13095238095238096,0.12060222960844301,0.5285486049684927,0.4,0.07829181494661921
4,graphsage_maxpool,0.8514689880304679,0.5492323726849471,0.18991097922848663,0.20617232336408983,0.5492323726849471,0.5714285714285714,0.11387900355871886
1,graphsage_mean,0.8416757344940152,0.5040798414690172,0.03322259136212625,0.028304716711889947,0.5040798414690173,0.25,0.017793594306049824
2,graphsage_mean,0.8351468988030468,0.5468896065752873,0.1962864721485411,0.1516856017804764,0.5468896065752873,0.3854166666666667,0.13167259786476868
3,graphsage_mean,0.8460282916213275,0.5460210688956086,0.1844380403458213,0.178024730431162,0.5460210688956086,0.48484848484848486,0.11387900355871886
4,graphsage_mean,0.8460282916213275,0.5576869013089777,0.2203856749311295,0.20111084514663383,0.5576869013089777,0.4878048780487805,0.1423487544483986
1,graphsage_meanpool,0.8411316648531012,0.5008422529867411,0.020134228187919465,0.006332724401192037,0.5008422529867411,0.17647058823529413,0.010676156583629894
2,graphsage_meanpool,0.8346028291621328,0.5363608728346556,0.16483516483516486,0.12603296549821075,0.5363608728346556,0.3614457831325301,0.10676156583629894
3,graphsage_meanpool,0.8514689880304679,0.5638146632016584,0.23529411764705882,0.2306950070747391,0.5638146632016584,0.5526315789473685,0.1494661921708185
4,graphsage_meanpool,0.8400435255712732,0.5585291542957188,0.22631578947368425,0.18660888696407107,0.5585291542957188,0.43434343434343436,0.15302491103202848
1,graphsage_seq,0.8389553862894451,0.49664127336766345,0.006711409395973153,-0.025253564470967972,0.4966412733676635,0.058823529411764705,0.0035587188612099642
2,graphsage_seq,0.8253536452665942,0.529443427341109,0.15303430079155672,0.09432529285836583,0.529443427341109,0.29591836734693877,0.10320284697508897
3,graphsage_seq,0.8416757344940152,0.5317861934507687,0.1415929203539823,0.13087056764372568,0.5317861934507687,0.41379310344827586,0.08540925266903915
4,graphsage_seq,0.8394994559303591,0.5509168786584293,0.20485175202156333,0.16982329592894063,0.5509168786584293,0.4222222222222222,0.13523131672597866
2,n2v,0.8389553862894451,0.49664127336766345,0.006711409395973153,-0.025253564470967972,0.4966412733676635,0.058823529411764705,0.0035587188612099642
3,n2v,0.8389553862894451,0.49664127336766345,0.006711409395973153,-0.025253564470967972,0.4966412733676635,0.058823529411764705,0.0035587188612099642
4,n2v,0.8389553862894451,0.49664127336766345,0.006711409395973153,-0.025253564470967972,0.4966412733676635,0.058823529411764705,0.0035587188612099642
