ID,Closeness_Centrality,Essentiality
31903,0.6517232214051564,0
31745,0.6084367245657568,0
33129,0.6004897959183674,1
35368,0.5759924829692271,0
31107,0.5739252555200125,1
35627,0.5679431747992588,0
32343,0.5633328227906265,0
31238,0.5508874410244888,0
35923,0.5467925369805992,0
33076,0.544284128745838,0
32940,0.538506588579795,0
31111,0.5349040139616056,1
32859,0.5336235038084874,1
35364,0.5315412963364405,0
31921,0.5251659884343542,1
35876,0.5251284980011423,0
36869,0.5232235578632904,1
34596,0.523037542662116,0
31152,0.5226287744227354,1
31052,0.5225545215599915,0
35584,0.5209631728045325,0
36388,0.520336705100092,0
36901,0.5200424178154825,0
31536,0.518283660959628,0
32489,0.5163554682016005,0
34400,0.5162105263157895,0
31984,0.5147655703289014,0
31584,0.5146575246624222,0
36219,0.5145495243424735,0
32598,0.5141539106730971,1
32665,0.5141179759575063,0
33832,0.5127919135587312,1
35292,0.5118285555246312,0
35511,0.510868810334051,0
36695,0.5106560222145089,1
31331,0.5104079933388843,0
33632,0.509948006932409,0
32711,0.509948006932409,0
31315,0.509841973939562,0
31676,0.509594735019051,0
32345,0.5094888488710347,0
31937,0.5087488761325126,1
35653,0.5087488761325126,1
34665,0.50815142304504,0
32813,0.5079058206172754,1
34321,0.507835692095271,0
30988,0.5077655829364257,0
33135,0.5075553715586835,1
33797,0.5073453341609766,1
34681,0.5072054057781149,0
33080,0.5067860833620392,0
32236,0.5061583981283975,1
33830,0.5059843169624433,0
34635,0.5059147180192572,1
32629,0.5056712724273046,0
36110,0.5056017595711045,0
33128,0.5052891880752851,1
36461,0.5051850834420712,0
33335,0.5047690935291292,0
33472,0.5045959665249006,1
34404,0.5044921473149989,0
32529,0.5044575504046084,0
33348,0.5040427572975196,0
33524,0.5039736914223075,1
36334,0.5039391655819689,1
32225,0.5032496408291716,1
30946,0.5032152141195786,0
33843,0.5031463748290014,0
33997,0.5031119622460845,0
31786,0.5029743589743589,0
34967,0.5026306798770072,1
33953,0.5025276677141686,0
36634,0.5022188844131904,0
35651,0.502184598580011,1
34362,0.5020132396096363,1
36907,0.5017393083691426,1
35451,0.5015682531024137,0
31480,0.5011581959395013,1
32106,0.5011240547721234,1
35759,0.5008510928031592,0
32710,0.5008510928031592,1
32895,0.5007147232999796,1
35676,0.5007147232999796,0
35596,0.5007147232999796,0
32926,0.5006124948958759,0
31882,0.5004422069528539,0
36828,0.5004081632653061,0
35796,0.5003741242092374,0
32449,0.5001359804188197,0
36091,0.5000339881721161,0
32257,0.4998640935036694,0
36467,0.4997622121068007,1
34280,0.499626434829858,0
36458,0.4995585738539898,0
33981,0.4993551014866608,0
34084,0.498880976602238,1
32035,0.4988133179629755,0
31529,0.4986104521114349,0
31014,0.4985428668248051,0
33773,0.4984752998576947,1
35726,0.4979017192364965,0
32210,0.4969262987232318,0
32663,0.4968591691995947,1
31453,0.496792057810495,0
31562,0.496792057810495,1
34649,0.4966914247130317,1
32692,0.4965908323769661,0
34752,0.4965908323769661,0
35540,0.4965573106520858,0
34085,0.4965237934525818,0
32213,0.496389769890006,0
33952,0.4961554026709834,0
33503,0.4960215778826702,0
35805,0.4960215778826702,0
31700,0.495988132964736,0
31987,0.4959212566574529,0
33467,0.4958209760043138,0
35721,0.4957541447634452,1
31469,0.4957207358986454,0
31825,0.4956539316757631,1
34429,0.495520377231391,0
32737,0.4953535353535354,0
36540,0.495220142722499,1
32511,0.4950868219141203,0
32199,0.4950868219141203,1
35690,0.4949868784065675,0
32041,0.4949868784065675,1
31579,0.4947538337368846,1
31147,0.4947205595534333,1
32437,0.4946872898453262,0
31502,0.4945542557482856,0
34711,0.4945542557482856,1
31753,0.4944877655283678,0
36408,0.4943216181708219,1
34513,0.4942551904857891,1
33440,0.4941887806516628,0
31907,0.4941223886612481,0
32764,0.4941223886612481,1
36100,0.4940891993551853,0
32048,0.4940560145073544,0
35810,0.4940560145073544,0
36123,0.4940228341168569,0
32219,0.4939233196803868,1
35128,0.4937906961133114,0
32277,0.4937575513491744,0
31631,0.4936912751677852,0
31607,0.4936912751677852,0
33246,0.4936581437487417,1
34639,0.4935918942494799,1
32243,0.4935256625293526,1
35762,0.4935256625293526,1
35532,0.4934263482693856,0
32505,0.4933601609657947,0
33675,0.4933270739722352,1
33816,0.4931947703654039,0
33136,0.4931947703654039,0
33087,0.4931286451699403,0
33591,0.4931286451699403,0
33360,0.4930625377035994,1
33662,0.4929634097305991,0
35688,0.4929634097305991,0
35256,0.4928643216080402,0
33238,0.4927652733118971,1
31960,0.4926332708277525,1
32119,0.4925013390465988,1
36877,0.4924683671419964,1
36147,0.4924683671419964,0
31724,0.4924024365754066,1
36930,0.4923694779116466,0
35980,0.4923694779116466,1
35744,0.4923694779116466,0
33573,0.4923694779116466,0
36125,0.4923035738187659,0
31610,0.492237687366167,1
35002,0.4922047507527601,1
34576,0.4921059673534921,1
31033,0.4919414164381729,0
