ID,Closeness_Centrality,Essentiality
31903,0.6521121760738374,0
31745,0.6085804207387775,0
33129,0.6007194244604317,1
35368,0.5761329778892896,0
31107,0.5739728167473832,1
35627,0.5681150456162054,0
32343,0.5634105198589173,0
31238,0.5510311211098613,0
35923,0.546848254818784,0
33076,0.5443769447325529,0
32940,0.5383939038686987,0
31111,0.5349836184929013,1
32859,0.5332752739676319,1
35364,0.5316162639270727,0
35876,0.5251947680651847,0
34596,0.5232500178024638,0
36869,0.5232127598974651,1
31052,0.522766078542971,0
31152,0.522766078542971,1
35584,0.5211347517730497,0
36388,0.5201755627920147,0
36901,0.5199915080319865,0
31536,0.5182677387501763,0
32489,0.5164464436322744,0
34400,0.5162287480680062,0
31984,0.5148903370471586,0
31584,0.5147100028019053,0
36219,0.5147100028019053,0
32665,0.5142777155655095,0
32598,0.5141697571898397,1
33832,0.512913583693983,1
35292,0.5116991643454039,0
36695,0.5107743639649659,1
35511,0.5107033639143731,0
31331,0.5104904821453383,0
33632,0.5099944475291505,0
31315,0.5098882797862744,0
31676,0.5096053817879187,0
32345,0.5094640504749358,0
31937,0.5088995082761965,1
35653,0.5086881273797161,1
34665,0.508301051466519,0
32813,0.508090167335085,1
34321,0.5080199115044248,0
30988,0.5079847908745247,0
33797,0.5075987841945289,1
32711,0.5075637217655592,0
33135,0.5073534488710902,1
34681,0.5073534488710902,0
33080,0.5068984547461368,0
33830,0.5061651856444169,0
32236,0.5059212338198843,1
34635,0.5058515764835467,1
36110,0.5056775170325511,0
32629,0.5056427195155518,0
33128,0.5055035773252614,1
36461,0.5051907872121004,0
33335,0.504774335371299,0
33472,0.504774335371299,1
32529,0.5044970820460006,0
34404,0.5044624467939036,0
33348,0.5039434881009532,0
36334,0.5039434881009532,1
33524,0.503908928816349,1
31921,0.5035635964912281,1
32225,0.5033566241950952,1
30946,0.5033221453524214,0
33843,0.5032532018354907,0
33997,0.5031842772033144,0
31786,0.5027711255559357,0
33953,0.5027367268746579,0
35651,0.5023586518082997,1
36634,0.5022899719734774,0
34362,0.5021526686257091,1
36907,0.501741208603619,1
35451,0.5016726974807127,0
31480,0.5011594598281272,1
32106,0.5011594598281272,1
35759,0.5009544586855741,0
32710,0.5009203081327971,1
35676,0.5007155025553662,0
31882,0.5005790585189727,0
32895,0.5005790585189727,1
32926,0.5005108643825352,0
35796,0.500476774281433,0
32449,0.5002723311546841,0
36828,0.5000680549884307,0
35596,0.5000340251786322,0
36091,0.5,0
36467,0.499897952241649,1
32257,0.4998299435412557,0
34280,0.4996939816388983,0
36458,0.4995580936841389,0
33981,0.499524133242692,0
34084,0.4990152801358234,1
32035,0.4989813934537552,0
31529,0.4987443154822507,0
33773,0.4986766202918222,1
31014,0.498642779587405,0
35726,0.4979331842515416,0
32663,0.4969565805491681,1
32210,0.4968557711812834,0
31562,0.4967885876546548,1
31453,0.4967214222943284,0
34752,0.496687846424226,0
35540,0.4966207082995404,0
32213,0.4965535883227463,0
34649,0.4965200351375093,1
32692,0.4964194027834076,0
33952,0.4960507662188618,0
31987,0.4960507662188618,0
31700,0.4960172809504523,0
35805,0.4959838002024975,0
34085,0.495950323974082,0
31469,0.495916852264291,0
33467,0.4958833850722094,0
33503,0.4958833850722094,0
35721,0.4958499223969229,1
31825,0.4958164642375168,1
34429,0.4957161168454428,0
36540,0.4952817471016446,1
32199,0.4952149885429303,1
32737,0.4951148844417492,0
32041,0.4950815254008893,1
35690,0.4949814752441899,0
32511,0.4948814655172414,0
31579,0.4948148148148148,1
34711,0.4947148724163469,1
31502,0.4947148724163469,0
31147,0.4947148724163469,1
32437,0.4946815672546115,0
31753,0.4944152873099179,0
33440,0.4942822548096327,0
36408,0.4942822548096327,1
36100,0.4942157654022061,0
34513,0.4942157654022061,1
36123,0.4942157654022061,0
35810,0.4942157654022061,0
32219,0.4941160648241544,1
32764,0.4940828402366864,1
31907,0.4939831932773109,0
32048,0.4939167842979095,0
31631,0.4937176644493717,0
32277,0.4937176644493717,0
31607,0.4936513268390998,0
34639,0.4936513268390998,1
35128,0.4936513268390998,0
33246,0.4935850070531336,1
32505,0.4934524209253911,0
35762,0.4933530280649926,1
32243,0.4933199060087277,1
33136,0.4932205665189958,0
33816,0.4931874622457883,0
33360,0.4931874622457883,1
35688,0.4930881760837471,0
33675,0.4930881760837471,1
33591,0.4930550895792793,0
35532,0.492889723638315,0
35256,0.492889723638315,0
33238,0.4928236083165661,1
33662,0.4927244685844565,0
36147,0.4926583975863225,0
32119,0.4925923443051552,1
33087,0.4925593243062072,0
31724,0.4925593243062072,1
31960,0.4925593243062072,1
36877,0.4925263087338293,1
35980,0.4924932975871313,1
33573,0.4924932975871313,0
36930,0.49239429069222,0
36125,0.4923283082077052,0
31610,0.4922953235964089,1
35744,0.4922623434045689,0
35002,0.4922293676312969,1
31033,0.4921304668140111,0
34576,0.4920975087061345,1
36310,0.4920645550123886,0
34392,0.4917681702583322,0
34494,0.4915707786994915,0
32044,0.491505016722408,1
32129,0.4914392723381487,0
36918,0.4914392723381487,1
33074,0.4913078363198716,1
31384,0.4912749882997927,0
35681,0.4912093054348552,0
35993,0.4911764705882352,1
33730,0.4911764705882352,0
35145,0.4911436401310073,0
35101,0.4910451750868752,1
31965,0.490717243221584,1
33200,0.490717243221584,1
35487,0.4905861930831887,0
34908,0.4905861930831887,0
36728,0.4905861930831887,0
31320,0.490520694259012,1
33822,0.49038974906567,1
33340,0.49038974906567,0
33181,0.490357023690357,0
34517,0.4902915860412357,1
31638,0.4902588737656792,1
33232,0.4902261658549603,1
32028,0.4901607631245414,1
36269,0.490062691743364,1
33874,0.4898340110659289,0
35959,0.4898013598186908,0
36830,0.4898013598186908,0
31986,0.4897360703812317,0
32751,0.4897360703812317,1
35831,0.4897034321892702,0
34455,0.4897034321892702,1
31957,0.4896707983473277,1
36639,0.4896707983473277,0
33405,0.4895403064623584,0
35476,0.4894424831812429,1
33320,0.4893772893772893,0
31859,0.4892469538584459,0
36525,0.4892143808255659,0
34997,0.4892143808255659,1
36005,0.4892143808255659,0
36030,0.4892143808255659,1
34967,0.4890515806988352,1
35375,0.4890515806988352,1
36210,0.4890515806988352,0
32296,0.4890515806988352,0
33728,0.4890190336749634,1
32996,0.4888888888888889,0
31351,0.4887263052876621,1
32835,0.4887263052876621,1
32241,0.4886938015429635,1
36193,0.4886613021214337,1
35049,0.4886288070222104,0
31358,0.4885313476497573,0
35413,0.4884339271470354,1
31040,0.4884014622798271,0
31226,0.488206763670188,0
35141,0.488206763670188,0
33667,0.4881743289928248,1
36856,0.4881418986248588,0
33115,0.4880770508136832,1
34745,0.4879798113959357,0
31182,0.4879798113959357,1
34479,0.4878178317732191,0
31229,0.4877854487519915,0
36242,0.4877530700298705,0
34127,0.4877530700298705,0
34248,0.4877206956060003,1
35097,0.4876883254795248,1
32417,0.4876883254795248,1
36749,0.4876559596495885,1
35603,0.4876559596495885,0
31352,0.4876559596495885,0
36838,0.4874941949180654,1
33991,0.4874941949180654,1
34599,0.4874618548494095,1
36201,0.4874295190713101,0
30951,0.4874295190713101,0
34293,0.4873648603833654,0
36095,0.4873648603833654,0
31543,0.4873325374718132,1
33226,0.487235594456601,0
33519,0.4871063970831952,0
35972,0.4870741084449158,0
36611,0.4870741084449158,0
35708,0.4870418240869623,1
32561,0.4870418240869623,1
35835,0.4869772682086288,0
33726,0.4868804664723032,1
32023,0.4868482077784403,0
31245,0.4868159533589505,0
35850,0.4866869784077361,1
33839,0.4865902920336402,0
36625,0.4865902920336402,0
32117,0.4865580717785723,1
34091,0.4864614366103939,0
35746,0.4864614366103939,0
35743,0.4864292334171852,0
31755,0.4864292334171852,0
30927,0.4863326494142564,1
36759,0.4863326494142564,1
31742,0.4863326494142564,0
33895,0.486300463269358,0
35620,0.4862682813844219,1
32493,0.4862361037586024,1
35446,0.4862039303910541,1
34449,0.48613959642739,1
35819,0.4860431273978039,1
34902,0.4860431273978039,0
31160,0.4860109795621403,0
31222,0.4859466966470471,1
113164,0.4858503041523406,0
34487,0.4858181818181818,0
31016,0.4857218402961396,0
36075,0.4856897349461299,0
32289,0.4856897349461299,1
31138,0.4855934443563309,1
35170,0.4855613559770039,0
35137,0.4854651162790697,0
31914,0.4854651162790697,1
33814,0.485433044856973,1
33817,0.4854009776720835,0
33404,0.4853689147235616,1
32183,0.4853048015322634,0
31058,0.4853048015322634,0
32052,0.4852727512878087,0
33414,0.4852727512878087,0
31612,0.4852727512878087,0
31879,0.4852407052763653,0
34950,0.4852086634970945,0
33224,0.4851766259491581,1
35376,0.4851445926317179,1
34724,0.4851445926317179,1
34133,0.4851445926317179,0
33027,0.4851445926317179,0
36302,0.484984489472642,0
33044,0.4849524815205913,0
36490,0.484792505113149,1
36698,0.484792505113149,0
33639,0.4846965699208443,0
32391,0.4846326342171217,0
31828,0.4846006726901009,1
36600,0.4845367622815694,1
35040,0.4844728687281598,0
32364,0.4843451321600422,1
33102,0.4843132085420511,0
36099,0.4842493739290892,1
36473,0.4841855561412757,0
32891,0.4841217551719594,0
35976,0.4840579710144927,1
35441,0.4839942036622316,0
35456,0.4839942036622316,1
31109,0.4838985841290747,1
36568,0.4838667193467668,0
33453,0.4838667193467668,0
36299,0.4838030023702923,1
34099,0.4837711501744683,1
34385,0.4837393021724819,0
32354,0.4837074583635047,1
36169,0.4836756187467088,0
34398,0.4836437833212664,0
31215,0.4836119520863499,0
33121,0.4836119520863499,1
31601,0.4835801250411319,0
36362,0.4835483021847854,1
32691,0.4835164835164835,0
31916,0.4834528587407066,1
36346,0.483421052631579,0
34644,0.483421052631579,1
35577,0.483421052631579,1
31919,0.483421052631579,0
35927,0.4832303038274365,1
35402,0.4832303038274365,0
34213,0.4831985269941474,0
31195,0.4831667543398211,1
35046,0.4831667543398211,0
33938,0.4831349858636333,0
31788,0.48310322156476,0
35797,0.4830079537237888,0
33383,0.4829762061259366,0
36925,0.4829762061259366,1
33349,0.4829444627012816,0
33739,0.482912723449001,1
36861,0.4828809883682723,0
33671,0.4828809883682723,1
34440,0.4828175307181812,0
36776,0.4828175307181812,0
32415,0.4828175307181812,0
34323,0.4827858081471747,1
31467,0.4827858081471747,0
31133,0.482754089744432,0
32038,0.482754089744432,1
30968,0.4826906654404519,0
36271,0.4826906654404519,1
33364,0.4826906654404519,1
31289,0.4826589595375722,0
33665,0.4826272577996716,0
35968,0.4825955602259293,1
31667,0.4825955602259293,0
36905,0.482563866815525,0
30971,0.4825004924814499,0
34101,0.4824688115561392,0
36350,0.4824688115561392,1
34664,0.482437134790887,0
32388,0.4824054621848739,1
32297,0.4822788133368338,1
34916,0.4822788133368338,0
31391,0.4822471615147338,0
33341,0.4822155138469615,1
32200,0.4822155138469615,0
32801,0.4822155138469615,0
33919,0.4822155138469615,0
32495,0.4821205957614329,0
34152,0.4821205957614329,0
32270,0.4820889647027949,0
34022,0.4819308716468813,1
31360,0.4819308716468813,0
34021,0.4818676634533412,0
33610,0.4818044718379122,0
33823,0.4818044718379122,0
32024,0.4817412967940733,0
35842,0.4817412967940733,1
36841,0.4817412967940733,0
35024,0.4817097154844631,0
31249,0.4816465652857892,0
36025,0.4816465652857892,0
32933,0.4816149963950973,0
36353,0.4816149963950973,1
34862,0.4816149963950973,1
30980,0.4815203145478375,0
35077,0.4814256699207233,1
31717,0.4814256699207233,1
35357,0.4814256699207233,1
33205,0.4813941299790356,0
32899,0.4813310624918118,1
31604,0.4812995349446519,0
35211,0.4812680115273775,0
33250,0.4812680115273775,0
36679,0.4812049770792403,0
32871,0.4811734660467552,0
31961,0.4810159727677402,0
35161,0.4810159727677402,0
31740,0.4810159727677402,0
35878,0.4809215262778977,1
32392,0.4808900523560209,0
36157,0.4808900523560209,1
33203,0.4808585825534978,0
32890,0.4807956553032781,1
35492,0.4807956553032781,0
31575,0.4807956553032781,1
32276,0.4807641978539649,1
35293,0.4807641978539649,1
31463,0.4807641978539649,0
33323,0.480732744520772,0
36516,0.4807012953028915,0
32782,0.4807012953028915,1
36104,0.4806698501995159,1
31387,0.4806069723330499,1
35250,0.4805755395683453,0
36483,0.4804498496142278,0
32608,0.4803556252860038,1
31792,0.4803242253889397,0
35204,0.4803242253889397,1
35675,0.4802928295967056,0
32703,0.4802614379084967,1
31460,0.4802614379084967,0
31643,0.4802300503235083,0
33829,0.4802300503235083,0
36598,0.4801986668409358,1
33481,0.4801986668409358,0
31581,0.4801672874599751,1
34032,0.4801359121798222,1
36009,0.4801359121798222,0
32624,0.4801045409996733,0
36531,0.4800731739187246,1
33925,0.480041810936173,1
35587,0.480041810936173,0
34285,0.480041810936173,0
35974,0.480010452051215,1
36274,0.4799790972630479,1
35221,0.4799790972630479,1
35636,0.4799477465708687,0
33164,0.479916399973875,0
32530,0.479916399973875,1
33531,0.479822384745984,0
33227,0.479822384745984,0
32600,0.4797597283886132,0
35717,0.4797284063458902,0
33166,0.4796970883927405,0
34747,0.4796970883927405,1
32566,0.4796344647519582,0
34543,0.4796031590627244,0
32130,0.4795718574598616,0
34547,0.4795718574598616,1
32342,0.4795718574598616,0
34650,0.47954055994257,1
35795,0.47954055994257,0
32454,0.4795092665100496,0
33066,0.4794154107131206,0
34419,0.4793528605910366,0
36588,0.4793528605910366,0
36354,0.4793215916503587,1
32641,0.4792590660057396,0
34955,0.4792590660057396,0
36256,0.4792590660057396,1
35346,0.4792278093002022,1
31853,0.4792278093002022,0
