ID,Information_Centrality,Essentiality
31903,0.0009131671128825,0
31745,0.0009129220694529,0
33129,0.0009126323147696,1
35368,0.0009122364362667,0
31107,0.0009122179458292,1
32343,0.0009119558437586,0
35627,0.0009119281993557,0
31238,0.0009117399192817,0
32940,0.000911589985892,0
35923,0.0009115562047703,0
33076,0.0009115220660822,0
31111,0.0009113400090981,1
32859,0.0009109125877243,1
35364,0.0009107905068653,0
34596,0.000910368325218,0
31921,0.0009102299172451,1
31984,0.0009100307366199,0
35876,0.0009099941871862,0
35584,0.0009099789393185,0
36869,0.0009099642640294,1
36219,0.0009099330437692,0
33832,0.0009099165213002,1
31052,0.0009099062676279,0
31536,0.0009099041608426,0
31152,0.0009098333492812,1
36388,0.000909826618978,0
36901,0.0009096683108596,0
32665,0.0009096406282747,0
32489,0.0009096108075743,0
34400,0.0009096091924485,0
36334,0.0009094490474719,1
31331,0.000909434649559,0
33632,0.0009093215869793,0
32598,0.0009093065064739,1
33830,0.0009091694647437,0
33953,0.0009091680494901,0
31584,0.0009091547157383,0
34665,0.0009091484511333,0
31480,0.0009091149588117,1
36695,0.0009090653172654,1
31315,0.0009090130835329,0
35651,0.0009089675375768,1
35511,0.0009089592755458,0
36461,0.0009089515036695,0
30988,0.0009089246528358,0
36907,0.0009088861214451,1
36110,0.0009088705390948,0
35451,0.0009088652991774,0
31676,0.0009088266455387,0
33773,0.0009087809470945,1
35292,0.0009087802758852,0
32813,0.0009087727874757,1
33135,0.0009087695633842,1
32449,0.0009087607456222,0
34321,0.000908676465765,0
33472,0.0009086699965228,1
32345,0.0009085937802658,0
32236,0.0009085836645744,1
33797,0.0009085794416277,1
36828,0.000908574923011,0
33843,0.0009085614442273,0
32737,0.0009085568166965,0
30946,0.0009085049991207,0
33524,0.0009084373883203,1
32629,0.000908341739547,0
34635,0.0009082871199935,1
31529,0.0009082819380603,0
35759,0.0009082804473898,0
35596,0.0009082765478836,0
33335,0.0009082502375344,0
31786,0.0009082255837862,0
31937,0.0009082243687327,1
