ID,Degree_Centrality,Essentiality
31903,0.4929232444202505,0
31745,0.4311377245508982,0
33129,0.3758845944474687,1
35368,0.3189983669025585,0
31107,0.3164126292868808,1
32343,0.2882416984213392,0
35627,0.2856559608056614,0
31238,0.2687806205770278,0
32940,0.2565323897659227,0
35923,0.253946652150245,0
33076,0.2509526401741971,0
31111,0.2377517691888949,1
32859,0.2116222101252041,1
35364,0.2056341861731083,0
34596,0.1867174741426238,0
36219,0.1746053347849755,0
31984,0.1731083287969515,0
35584,0.1721556886227545,0
35876,0.1714752313554708,0
36869,0.1713391399020141,1
33832,0.16943385955362,1
31536,0.1687534022863364,0
31052,0.1687534022863364,0
31152,0.1672563962983125,1
36388,0.1658954817637452,0
32665,0.1616766467065868,0
36901,0.1603157321720196,0
32489,0.1592270005443658,0
34400,0.1590909090909091,0
36334,0.1544637996733805,1
31331,0.1540555253130103,0
33632,0.1506532389765922,0
32598,0.1502449646162221,1
33830,0.1472509526401742,0
33953,0.146842678279804,0
34665,0.1464344039194338,0
31584,0.1462983124659771,0
31480,0.1456178551986935,1
36695,0.1442569406641263,1
31315,0.1427599346761023,0
35651,0.1418072945019053,1
36461,0.1415351115949918,0
35511,0.1411268372346217,0
30988,0.1408546543277082,0
36907,0.1399020141535111,1
36110,0.139493739793141,0
35451,0.1392215568862275,0
31676,0.1381328252585738,0
33773,0.1377245508982036,1
32813,0.1373162765378334,1
35292,0.1369080021774632,0
32449,0.1369080021774632,0
33135,0.1367719107240065,1
33472,0.1352749047359825,1
34321,0.1350027218290691,0
33797,0.1333696243875884,1
32345,0.1332335329341317,0
33843,0.1329613500272183,0
32236,0.1328252585737615,1
36828,0.1325530756668481,0
32737,0.1322808927599346,0
30946,0.1317365269461078,0
33524,0.1301034295046271,1
32629,0.1280620577027763,0
34635,0.1269733260751225,1
31529,0.1268372346216657,0
35759,0.126701143168209,0
35596,0.126701143168209,0
33335,0.1261567773543821,0
31786,0.125748502994012,0
31937,0.125748502994012,1
35653,0.1256124115405552,1
34404,0.1249319542732716,0
32210,0.1247958628198149,0
33348,0.1245236799129014,0
32926,0.1228905824714208,0
32225,0.1226183995645073,1
34681,0.1219379422972237,0
32041,0.1213935764833968,1
33128,0.1213935764833968,1
33997,0.1208492106695699,0
31753,0.1207131192161132,0
36123,0.1190800217746325,0
32437,0.1185356559608056,0
33080,0.1179912901469787,0
32895,0.1173108328796951,1
32711,0.1167664670658682,0
35256,0.1162221012520413,0
32529,0.1159499183451279,0
35726,0.1148611867174741,0
34649,0.1144529123571039,1
34084,0.1141807294501905,1
31882,0.113908546543277,0
33087,0.1136363636363636,0
36634,0.1133641807294502,0
35676,0.1132280892759934,0
32106,0.11295590636908,1
31987,0.11295590636908,0
36467,0.11295590636908,1
31921,0.1126837234621665,1
33662,0.1126837234621665,0
32048,0.1125476320087098,0
36091,0.1107784431137724,0
35762,0.110506260206859,1
36125,0.1102340772999455,0
31957,0.1099618943930321,1
33822,0.1099618943930321,1
31631,0.1098258029395754,0
36540,0.1098258029395754,1
35487,0.1095536200326619,0
34908,0.1092814371257485,0
33238,0.1091453456722918,1
34085,0.1088731627653783,0
31825,0.1087370713119216,1
32257,0.1084648884050081,0
34362,0.1079205225911812,1
32663,0.1077844311377245,1
32035,0.1072400653238976,0
35681,0.1071039738704409,0
31579,0.1069678824169842,1
31638,0.1066956995100707,1
33226,0.1057430593358737,0
32199,0.1057430593358737,1
32296,0.105606967882417,0
31033,0.1054708764289602,0
36830,0.1050626020685901,0
31014,0.1049265106151333,0
31562,0.1047904191616766,1
32710,0.1047904191616766,1
31358,0.1037016875340228,0
35831,0.1034295046271094,0
36201,0.1034295046271094,0
33467,0.1032934131736527,0
34293,0.1023407729994556,0
33200,0.1020685900925422,1
35743,0.1013881328252585,0
34576,0.1012520413718018,1
35850,0.1011159499183451,1
35805,0.1009798584648884,0
35540,0.1008437670114316,0
30927,0.1008437670114316,1
31040,0.1008437670114316,0
34517,0.1004354926510615,1
31700,0.1002994011976048,0
31965,0.1002994011976048,1
34280,0.100163309744148,0
35819,0.0997550353837779,1
32219,0.0997550353837779,1
35690,0.0996189439303211,0
30951,0.0996189439303211,0
31469,0.0994828524768644,0
32996,0.099210669569951,0
31543,0.0989384866630375,1
33246,0.0988023952095808,1
33728,0.0988023952095808,1
33440,0.0982580293957539,0
36458,0.0982580293957539,0
35128,0.0981219379422972,0
32241,0.0979858464888405,1
36269,0.0979858464888405,1
33360,0.0975775721284703,1
33816,0.0973053892215568,0
32354,0.0973053892215568,1
32561,0.0971692977681001,1
31502,0.0971692977681001,0
33405,0.0971692977681001,0
33981,0.0970332063146434,0
32511,0.0970332063146434,0
31352,0.0970332063146434,0
35721,0.09676102340773,1
34429,0.0966249319542732,0
33181,0.0966249319542732,0
32364,0.0964888405008165,1
33730,0.0964888405008165,0
32213,0.0964888405008165,0
34091,0.0963527490473598,0
35097,0.0963527490473598,1
33044,0.0963527490473598,0
35375,0.0958083832335329,1
35620,0.0958083832335329,1
31724,0.0956722917800762,1
35796,0.0955362003266195,0
33952,0.0954001088731627,0
32493,0.0954001088731627,1
32692,0.0954001088731627,0
35413,0.095264017419706,1
35810,0.0949918345127926,0
36639,0.0949918345127926,0
31453,0.0948557430593358,0
36877,0.0948557430593358,1
36930,0.0948557430593358,0
35688,0.0947196516058791,0
31907,0.0947196516058791,0
33115,0.0947196516058791,1
35972,0.0941752857920522,0
32023,0.0941752857920522,0
34711,0.0940391943385955,1
34752,0.0940391943385955,0
32764,0.0939031028851388,1
31879,0.0939031028851388,0
35744,0.0937670114316821,0
32052,0.0934948285247686,0
33874,0.0934948285247686,0
33232,0.0934948285247686,1
31351,0.0933587370713119,1
36100,0.0933587370713119,0
32044,0.0932226456178552,1
36918,0.0929504627109417,1
31147,0.0926782798040283,1
31960,0.0925421883505716,1
32289,0.0924060968971148,1
33675,0.0922700054436581,1
34902,0.0921339139902014,0
36005,0.0919978225367447,0
31016,0.0919978225367447,0
34455,0.0918617310832879,1
31384,0.0918617310832879,0
34479,0.0918617310832879,0
33136,0.0917256396298312,0
36408,0.0917256396298312,1
33814,0.0917256396298312,1
36611,0.0915895481763745,0
33726,0.0914534567229178,1
31607,0.0911812738160043,0
36473,0.0911812738160043,0
36693,0.0911812738160043,0
34862,0.0911812738160043,1
36346,0.0911812738160043,0
32119,0.0910451823625476,1
32388,0.0905008165487207,1
35101,0.090364725095264,1
36490,0.0902286336418073,1
35746,0.0900925421883505,0
33991,0.0900925421883505,1
32277,0.0899564507348938,0
35708,0.0899564507348938,1
36075,0.0899564507348938,0
36147,0.0898203592814371,0
32505,0.0896842678279804,0
32391,0.0895481763745236,0
34392,0.0894120849210669,0
33591,0.0891399020141535,0
35002,0.0890038105606968,1
34513,0.0890038105606968,1
36856,0.0890038105606968,0
