ID,Betweenness_Centrality
31903,0.0463967432915027
33129,0.0392187905811529
31745,0.0365356278548364
36930,0.0316757065441511
36219,0.0214467614278781
35627,0.0178001817813974
32157,0.0168721877054665
35368,0.0152273277546517
31238,0.0152055582759844
32940,0.0151101853300711
31107,0.0140180137871615
35923,0.0129160407891088
31557,0.01211815851414
32343,0.0117476180808755
33076,0.0108509839867149
32957,0.0088571248189125
32665,0.0086150706302277
32398,0.0076660507830353
34596,0.0075964232157227
31152,0.0071257154110255
35584,0.0070868305070816
36869,0.006999376854836
32859,0.0069797214066783
31111,0.0066715967113627
31215,0.0065833065295308
35364,0.0063517735284408
35993,0.0054249294283889
32489,0.0050558686579036
32529,0.0043750752641177
33927,0.0040792212967195
35256,0.0040715002443332
31984,0.0038889025418412
33832,0.0036755944353462
32711,0.0035976592445423
33797,0.0035856374948135
33843,0.0034873061589556
31536,0.0034490249647639
33830,0.0033345745618094
30946,0.0033106223796418
36388,0.0032987302960122
33189,0.00320641130785
31480,0.0031493578808759
33472,0.0030932509980007
33524,0.0030372797204101
31584,0.0029856165955724
34084,0.0029654311161001
36461,0.0028480572537905
32625,0.0028325591597278
31052,0.0027897440288921
36634,0.0027679076770361
35644,0.0027589330253594
35876,0.0027366757725195
34839,0.0027309361368005
34400,0.0026897969979255
31786,0.0026483015019347
34179,0.002632705087294
34665,0.0026316256995395
36901,0.0026181795704677
33773,0.0025998966114678
30988,0.0025898249947902
36334,0.0025094097832999
36695,0.0024889301019787
35511,0.0024873761882513
34349,0.0024698331268849
31921,0.0024659213517673
36110,0.0024626218588987
32813,0.0024434024373723
32041,0.0024340302674802
35796,0.0024277063941904
35810,0.0023951212463729
36095,0.0023833863976393
36147,0.0023691985156663
32345,0.0023256345251693
31331,0.0022964941178143
32598,0.0022917722242146
32765,0.00223527659302
32225,0.00220311568932
32236,0.0021929574859241
36877,0.0021425085295442
33953,0.0021058425668533
35588,0.0020460793073303
32449,0.0020324668351296
33822,0.0020168582801836
33238,0.0020067696122464
35292,0.0020043438599043
36830,0.0020038671727499
35651,0.0019484120475225
36907,0.0019304867575264
35455,0.0019131700868312
34404,0.0019062827431567
33348,0.0018982421979752
35451,0.001881746451751
31315,0.0018717520903585
34635,0.0018707829928731
33074,0.0018207755711772
31235,0.0018122520804801
31937,0.0018013058238608
32149,0.0017952914484061
32710,0.0017605830418971
32276,0.0017548805936879
31882,0.0017191381265802
35549,0.0017161187111422
34085,0.0016885496360876
32629,0.0016726457332278
33135,0.0016556887323905
32737,0.0016413184171071
32926,0.0016388719222416
35759,0.0016258324604564
