ID,Betweenness_Centrality,Essentiality
31903,0.0459830014490682,0
33129,0.0389769052772301,1
31745,0.036213646072804,0
36930,0.0315932459209016,0
36219,0.0212705476250886,0
35627,0.0177125889596681,0
32157,0.0168655335942621,0
35368,0.0151606571253932,0
31238,0.0151502068629832,0
32940,0.0150103693528019,0
31107,0.0139369759158823,1
35923,0.0128537017023258,0
31557,0.0120695880045476,1
32343,0.0117100593901023,0
33076,0.0107284468017461,0
32957,0.008825464659749,0
32665,0.0085848436736227,0
32398,0.0076588568225982,1
34596,0.0075393420587794,0
31152,0.00708308668133,1
35584,0.0070414317014377,0
32859,0.0069979019661722,1
36869,0.0069788678487687,1
31111,0.0066373801991705,1
31215,0.0065459613658961,0
35364,0.0063220450750038,0
35993,0.0053880881750234,1
32489,0.0050121463147637,0
31921,0.0044269400536042,1
32529,0.0043568381346576,0
32711,0.004124004393861,0
33927,0.0040747851697844,0
35256,0.0040620452316786,0
31984,0.0038592584906909,0
33832,0.0036503659891501,1
33797,0.0035625072275526,1
33843,0.0034646910623693,0
31536,0.0034408176193854,0
33830,0.0033018898525654,0
30946,0.0032961407958669,0
36388,0.00327718521518,0
33189,0.0031941485966796,0
31480,0.0031309638910187,1
33472,0.0030302970055153,1
33524,0.0030246666251898,1
31584,0.0029811076544208,0
34084,0.0029505115098718,1
36461,0.0028357824926231,0
32625,0.0028277291161732,0
36634,0.0027559689027253,0
35644,0.0027559374901913,1
31052,0.0027440569929705,0
34839,0.0027243919414627,0
35876,0.0027228333367262,0
34400,0.0026772056751994,0
31786,0.0026593659831577,0
34179,0.0026355327138022,0
36901,0.002606710828209,0
34665,0.0026056129123158,0
33773,0.0025747986708599,1
30988,0.0025711455843833,0
35511,0.0025001238072781,0
36334,0.0024976543265548,1
36695,0.0024690146472054,1
34349,0.0024655515580925,0
36110,0.0024478163667382,0
32813,0.002430082689764,1
32041,0.002424281843468,1
35796,0.0023787919681911,0
36095,0.0023744874425227,0
35810,0.0023708423857334,0
36147,0.0023548132274962,0
32345,0.0023109335707056,0
32598,0.002288724887267,1
31331,0.0022829602300744,0
32765,0.0022325482185501,0
32236,0.0021964032004422,1
32225,0.0021832368346454,1
36877,0.0021325394184261,1
33953,0.0020894837404926,0
35588,0.0020331482951502,1
32449,0.0020192452970423,0
33822,0.0020113755922183,1
33238,0.0020048217240074,1
36830,0.0020033413941415,0
35292,0.0019948816652145,0
35651,0.0019322236104133,1
36907,0.0019225915766263,1
35455,0.0019101295989439,0
34404,0.0019021070436126,0
33348,0.0018890676428897,0
35451,0.0018723493838672,0
31315,0.001861078097384,0
34635,0.0018564187570208,1
32149,0.0018302135510198,0
33074,0.0018155436062489,1
31235,0.0018089027361159,1
31937,0.0017729236096886,1
32276,0.0017523075012399,1
32710,0.0017430790149339,1
35549,0.0017202301701474,0
34085,0.0016991370820405,0
31882,0.0016916207564269,0
32629,0.0016620468142596,0
33135,0.0016560209323896,1
32737,0.0016453766774353,0
32926,0.0016346753455773,0
35596,0.0016227400272917,0
35759,0.001615170126148,0
33335,0.0016141772964221,0
33801,0.0015986462394498,0
31907,0.0015942713850419,0
33136,0.0015754358775087,0
32100,0.0015748091590923,1
36421,0.0015676905874799,0
34321,0.0015634157734066,0
31559,0.0015612815455516,0
31676,0.001550789406022,0
36540,0.001545835787934,1
35653,0.001543974953773,1
33632,0.0015376201579061,0
34513,0.0015230466919953,1
35695,0.0015225078216449,1
34681,0.0015224707024323,0
34576,0.0015223895296947,1
31638,0.0014873326513878,1
32023,0.0014842774404487,0
35540,0.0014689322194854,0
31529,0.0014675533411769,0
31033,0.0014665400948098,0
32364,0.0014366305363713,1
35765,0.0014334338976927,0
33073,0.0014273443048023,0
36338,0.0014141037606727,1
31352,0.0014120314451062,0
34711,0.0014020496485317,1
33080,0.0013883423070451,0
31177,0.001386274730361,0
32895,0.0013788739666177,1
33340,0.0013697159181269,0
