ID,Information_Centrality,Essentiality
31903,0.0009168778618945,0
31745,0.0009166304653333,0
33129,0.0009163384710638,1
35368,0.0009159405095512,0
31107,0.0009159185184461,1
32343,0.0009156579143082,0
35627,0.0009156300791399,0
31238,0.0009154404666164,0
32940,0.0009152860348797,0
35923,0.0009152537373697,0
33076,0.0009152210870961,0
31111,0.0009150357969137,1
32859,0.0009145919820876,1
35364,0.0009144789784221,0
34596,0.000914055807594,0
31984,0.0009137154584023,0
35876,0.0009136747880601,0
35584,0.0009136671402752,0
36869,0.0009136406181174,1
36219,0.0009136188118635,0
33832,0.0009136043115385,1
31052,0.0009135939887908,0
31536,0.0009135878108749,0
31152,0.0009135204862502,1
36388,0.0009135053812482,0
36901,0.00091333214347,0
32665,0.0009133262198613,0
34400,0.0009132902994769,0
32489,0.0009132827642354,0
36334,0.0009131287310182,1
31331,0.0009131189982902,0
33632,0.0009130001467884,0
32598,0.0009129798658497,1
33830,0.0009128519026525,0
33953,0.0009128505718507,0
34665,0.0009128307837491,0
31584,0.0009128265148372,0
31480,0.00091279135769,1
36695,0.0009127470810502,1
31315,0.0009126888865135,0
35651,0.0009126486490688,1
36461,0.0009126267094683,0
35511,0.0009126174794655,0
30988,0.000912605455424,0
36907,0.0009125666454429,1
36110,0.0009125450878496,0
35451,0.0009125398101203,0
31676,0.0009124948881239,0
33773,0.0009124606527642,1
32813,0.0009124464862127,1
35292,0.00091243574658,0
32449,0.0009124342897694,0
33135,0.0009124310084805,1
34321,0.0009123555043091,0
33472,0.0009123489025434,1
32345,0.0009122657256871,0
33797,0.0009122578023538,1
32236,0.0009122426768493,1
36828,0.0009122403418983,0
33843,0.0009122395436314,0
32737,0.0009122219289309,0
30946,0.0009121824191033,0
33524,0.0009121011487194,1
32629,0.0009120114414649,0
34635,0.0009119562814907,1
31529,0.0009119511151026,0
35596,0.0009119456123406,0
35759,0.0009119424815542,0
33335,0.0009119191224713,0
31937,0.0009118930320833,1
35653,0.0009118821295761,1
31786,0.0009118796461028,0
34404,0.0009118489260458,0
32210,0.0009118462729215,0
33348,0.0009118293313981,0
32926,0.0009117358609332,0
