Dimension,Epochs,Length_of_Walk,Num_Walks,Context_Size,Return_Hyperparam,Accuracy,Balanced_Accuracy,F1_Score,Matthews_Corrcoef,Roc_Auc,Precision,Recall
32,1,80,10,10,0.5,0.9009793253536452,0.728652829490054,0.5973451327433629,0.5665499254891468,0.7286528294900542,0.7894736842105263,0.4804270462633452
32,1,80,10,10,1,0.9102285092491839,0.7764006884303924,0.6653144016227182,0.6227853403248592,0.7764006884303924,0.7735849056603774,0.5836298932384342
32,1,80,10,10,2,0.9047878128400435,0.7644400103310272,0.6435845213849287,0.5982983149746615,0.764440010331027,0.7523809523809524,0.5622775800711743
32,1,80,10,20,0.5,0.8993471164309031,0.7276894383532526,0.5934065934065934,0.5597821716138802,0.7276894383532526,0.7758620689655172,0.4804270462633452
32,1,80,10,20,1,0.8998911860718172,0.74550931735224,0.6150627615062761,0.5712260925971056,0.74550931735224,0.7461928934010152,0.5231316725978647
32,1,80,10,20,2,0.9009793253536452,0.7476098071617788,0.6192468619246861,0.5761132985059608,0.7476098071617788,0.751269035532995,0.5266903914590747
32,1,80,20,10,0.5,0.9249183895538629,0.7967370410749754,0.7136929460580914,0.684347768204596,0.7967370410749754,0.8557213930348259,0.6120996441281139
32,1,80,20,10,1,0.9151251360174102,0.7763744037374548,0.675,0.6401905594300512,0.7763744037374548,0.8140703517587939,0.5765124555160143
32,1,80,20,10,2,0.9178454842219804,0.7911041170971642,0.693711967545639,0.6559150690465149,0.7911041170971643,0.8066037735849056,0.608540925266904
32,1,80,20,20,0.5,0.9102285092491839,0.7530690236036542,0.6420824295010846,0.6128270627716685,0.7530690236036544,0.8222222222222222,0.5266903914590747
32,1,80,20,20,1,0.9107725788900979,0.7650559863959572,0.6554621848739496,0.6194824280479605,0.7650559863959572,0.8,0.5551601423487544
32,1,80,20,20,2,0.9080522306855278,0.7561591892429322,0.6411889596602973,0.6055946052831364,0.7561591892429322,0.7947368421052632,0.5373665480427047
32,1,120,10,10,0.5,0.9102285092491839,0.7749424593787213,0.6639511201629328,0.6220602168157513,0.7749424593787213,0.7761904761904762,0.5800711743772242
32,1,120,10,10,1,0.9140369967355821,0.7873979753929562,0.6827309236947792,0.6410468816617919,0.7873979753929562,0.783410138248848,0.604982206405694
32,1,120,10,10,2,0.9173014145810664,0.7864082995632169,0.6885245901639344,0.6520800410829196,0.7864082995632169,0.8115942028985508,0.597864768683274
32,1,120,10,20,0.5,0.8928182807399347,0.7325852481160733,0.5887265135699374,0.5399519433359228,0.7325852481160733,0.7121212121212122,0.501779359430605
32,1,120,10,20,1,0.9080522306855278,0.7663667926046303,0.6515463917525772,0.6103324111306122,0.7663667926046303,0.7745098039215687,0.5622775800711743
32,1,120,10,20,2,0.9036996735582155,0.7652559786248305,0.6424242424242423,0.595240871750433,0.7652559786248306,0.7429906542056075,0.5658362989323843
32,1,120,20,10,0.5,0.9189336235038085,0.781538774493334,0.6876310272536688,0.6565246935965883,0.781538774493334,0.8367346938775511,0.5836298932384342
32,1,120,20,10,1,0.9292709466811752,0.8095136874681441,0.7336065573770492,0.7046852285626775,0.8095136874681441,0.8647342995169082,0.6370106761565836
32,1,120,20,10,2,0.9292709466811752,0.797847855054775,0.7245762711864407,0.7025196164939206,0.7978478550547751,0.8952879581151832,0.608540925266904
32,1,120,20,20,0.5,0.9069640914036997,0.7584333865884069,0.6415094339622642,0.6026448763600045,0.758433386588407,0.7806122448979592,0.5444839857651246
32,1,120,20,20,1,0.9156692056583242,0.770862617909704,0.6709129511677282,0.640355478418622,0.7708626179097041,0.8315789473684211,0.5622775800711743
32,1,120,20,20,2,0.911316648531012,0.7712100329815756,0.6625258799171843,0.6241168085335045,0.7712100329815755,0.7920792079207921,0.5693950177935944
32,3,80,10,10,0.5,0.9134929270946681,0.7695780963939687,0.6652631578947368,0.6314810066106651,0.7695780963939687,0.8144329896907216,0.5622775800711743
32,3,80,10,10,1,0.9156692056583242,0.7796119922197309,0.6790890269151139,0.6434516536625647,0.7796119922197308,0.8118811881188119,0.5836298932384342
32,3,80,10,10,2,0.9249183895538629,0.8113193315916867,0.7250996015936255,0.6889415922650858,0.8113193315916867,0.8235294117647058,0.6476868327402135
32,3,80,10,20,0.5,0.9069640914036997,0.7730156771051182,0.6559356136820926,0.6101867139617462,0.7730156771051182,0.7546296296296297,0.5800711743772242
32,3,80,10,20,1,0.9080522306855278,0.7678250216563014,0.6529774127310062,0.611061501970536,0.7678250216563013,0.7718446601941747,0.5658362989323843
32,3,80,10,20,2,0.9085963003264418,0.7462727162601681,0.631578947368421,0.6039188889839074,0.7462727162601682,0.8228571428571428,0.5124555160142349
32,3,80,20,10,0.5,0.9281828073993471,0.805954968606934,0.728395061728395,0.6995438605088538,0.805954968606934,0.8634146341463415,0.6298932384341637
32,3,80,20,10,1,0.9319912948857454,0.818410484621169,0.7464503042596349,0.7174417081010183,0.818410484621169,0.8679245283018868,0.6548042704626335
32,3,80,20,10,2,0.9249183895538629,0.8084028734883445,0.7228915662650601,0.6878987232771049,0.8084028734883445,0.8294930875576036,0.6405693950177936
32,3,80,20,20,0.5,0.9227421109902068,0.7939942905075689,0.7066115702479339,0.6750865582293648,0.793994290507569,0.8423645320197044,0.608540925266904
32,3,80,20,20,1,0.9173014145810664,0.7864082995632169,0.6885245901639344,0.6520800410829196,0.7864082995632169,0.8115942028985508,0.597864768683274
32,3,80,20,20,2,0.9243743199129488,0.7964159106960416,0.7122153209109731,0.6821213439206852,0.7964159106960417,0.8514851485148515,0.6120996441281139
32,3,120,10,10,0.5,0.9124047878128401,0.7645611484810876,0.6581740976645435,0.6254579613605568,0.7645611484810876,0.8157894736842105,0.5516014234875445
32,3,120,10,10,1,0.9227421109902068,0.796910748610911,0.709016393442623,0.675991489937355,0.796910748610911,0.8357487922705314,0.6156583629893239
32,3,120,10,10,2,0.9287268770402611,0.8062760989858679,0.7298969072164949,0.7017775306668369,0.8062760989858678,0.8676470588235294,0.6298932384341637
32,3,120,10,20,0.5,0.9075081610446137,0.7543798298123272,0.6382978723404255,0.6027939771995042,0.7543798298123272,0.7936507936507936,0.5338078291814946
