Dimension,Epochs,Length_of_Walk,Num_Walks,Context_Size,Return_Hyperparam,Accuracy,Balanced_Accuracy,F1_Score,Matthews_Corrcoef,Roc_Auc,Precision,Recall
32,5,80,10,5,0.5,0.9221980413492927,0.805338992542004,0.714570858283433,0.677031898694152,0.8053389925420043,0.8136363636363636,0.6370106761565836
32,5,80,10,5,1,0.9238302502720348,0.7946365512654365,0.7095435684647302,0.679503527970593,0.7946365512654366,0.8507462686567164,0.608540925266904
32,5,80,10,5,1.5,0.9183895538628944,0.7885087893727558,0.6926229508196721,0.6568623308538067,0.7885087893727558,0.8164251207729468,0.6014234875444839
32,5,80,10,10,0.5,0.9173014145810664,0.7834918414598747,0.6859504132231405,0.6509702321321933,0.7834918414598748,0.8177339901477833,0.5907473309608541
32,5,80,10,10,1,0.911860718171926,0.7700729343088383,0.6625000000000001,0.6255939065411331,0.7700729343088383,0.7989949748743719,0.5658362989323843
32,5,80,10,10,1.5,0.9238302502720348,0.8004694674721211,0.7142857142857144,0.6812305628154853,0.8004694674721211,0.8373205741626795,0.6227758007117438
32,5,80,10,20,0.5,0.9276387377584331,0.8056338382280003,0.7268993839835728,0.6973249589812087,0.8056338382280002,0.8592233009708737,0.6298932384341637
32,5,80,10,20,1,0.9145810663764962,0.7862608767202188,0.6828282828282829,0.6423763742870666,0.7862608767202187,0.7897196261682243,0.6014234875444839
32,5,80,10,20,1.5,0.9183895538628944,0.7914252474760981,0.6951219512195123,0.6579905126753802,0.7914252474760982,0.8104265402843602,0.608540925266904
32,5,80,20,5,0.5,0.9281828073993471,0.805954968606934,0.728395061728395,0.6995438605088538,0.805954968606934,0.8634146341463415,0.6298932384341637
32,5,80,20,5,1,0.9102285092491839,0.7589019398103388,0.64818763326226,0.614952922145171,0.7589019398103388,0.8085106382978723,0.5409252669039146
32,5,80,20,5,1.5,0.9232861806311208,0.7913989627831604,0.7056367432150313,0.6764893195733439,0.7913989627831604,0.8535353535353535,0.6014234875444839
32,5,80,20,10,0.5,0.9249183895538629,0.7850712086616063,0.7038626609442059,0.6819594125668765,0.7850712086616062,0.8864864864864865,0.5836298932384342
32,5,80,20,10,1,0.9216539717083787,0.7991849459563857,0.708502024291498,0.6727453659913798,0.7991849459563858,0.8215962441314554,0.6227758007117438
32,5,80,20,10,1.5,0.9167573449401524,0.796294772545981,0.6958250497017893,0.6544165678938583,0.7962947725459811,0.7882882882882883,0.6227758007117438
32,5,80,20,20,0.5,0.9254624591947769,0.7970581714539092,0.7151767151767152,0.6865892807092753,0.7970581714539092,0.86,0.6120996441281139
32,5,80,20,20,1,0.9270946681175191,0.8009380206940531,0.7219917012448133,0.6940362486726019,0.8009380206940531,0.8656716417910447,0.6192170818505338
32,5,80,20,20,1.5,0.9281828073993471,0.7986638233485785,0.7226890756302521,0.6980298501225873,0.7986638233485784,0.882051282051282,0.6120996441281139
32,5,120,10,5,0.5,0.9173014145810664,0.7849500705115457,0.6872427983539093,0.6515176834209424,0.7849500705115459,0.8146341463414634,0.594306049822064
32,5,120,10,5,1,0.9232861806311208,0.8016065661448584,0.7139959432048683,0.6795791609905547,0.8016065661448584,0.8301886792452831,0.6263345195729537
32,5,120,10,5,1.5,0.9314472252448314,0.8180893542422352,0.7449392712550608,0.7152536981885762,0.8180893542422353,0.863849765258216,0.6548042704626335
32,5,120,10,10,0.5,0.9276387377584331,0.8041756091763291,0.7257731958762886,0.6969646296386145,0.8041756091763291,0.8627450980392157,0.6263345195729537
32,5,120,10,10,1,0.9238302502720348,0.79901123842045,0.7131147540983607,0.6807737797082422,0.79901123842045,0.8405797101449275,0.6192170818505338
32,5,120,10,10,1.5,0.9325353645266594,0.8289392183618007,0.7549407114624506,0.7223283746676021,0.8289392183618007,0.8488888888888889,0.6797153024911032
32,5,120,10,20,0.5,0.9298150163220892,0.8185841921571048,0.7414829659318638,0.7091954335464087,0.8185841921571048,0.8486238532110092,0.6583629893238434
32,5,120,10,20,1,0.9205658324265505,0.78833508183682,0.6970954356846472,0.6649708072685839,0.78833508183682,0.835820895522388,0.597864768683274
32,5,120,10,20,1.5,0.9211099020674647,0.800322044629123,0.7082494969818914,0.6712161128826327,0.800322044629123,0.8148148148148148,0.6263345195729537
32,5,120,20,5,0.5,0.9292709466811752,0.8095136874681441,0.7336065573770492,0.7046852285626775,0.8095136874681441,0.8647342995169082,0.6370106761565836
32,5,120,20,5,1,0.9363438520130577,0.8311871310143377,0.7655310621242484,0.737250644403847,0.8311871310143376,0.8761467889908257,0.6797153024911032
32,5,120,20,5,1.5,0.9270946681175191,0.7994797916423819,0.7208333333333334,0.6937116200227512,0.7994797916423819,0.8693467336683417,0.6156583629893239
32,5,120,20,10,0.5,0.926006528835691,0.8032122180395276,0.7213114754098361,0.6903383592500163,0.8032122180395276,0.8502415458937198,0.6263345195729537
32,5,120,20,10,1,0.926550598476605,0.8166574098835017,0.7326732673267327,0.6966928326085785,0.8166574098835017,0.8258928571428571,0.6583629893238434
32,5,120,20,10,1.5,0.926550598476605,0.8049915774701326,0.7239263803680981,0.6929307565274004,0.8049915774701325,0.8509615384615384,0.6298932384341637
32,5,120,20,20,0.5,0.9178454842219804,0.7765218265804529,0.6807610993657506,0.6507157957165672,0.7765218265804529,0.8385416666666666,0.5729537366548043
32,5,120,20,20,1,0.9227421109902068,0.7983689776625822,0.710204081632653,0.6764682890737346,0.7983689776625823,0.8325358851674641,0.6192170818505338
32,5,120,20,20,1.5,0.9298150163220892,0.7967107563820377,0.7249466950959489,0.704757742652308,0.7967107563820378,0.9042553191489362,0.604982206405694
32,10,80,10,5,0.5,0.9232861806311208,0.787024275628147,0.7019027484143763,0.6754303347949305,0.7870242756281471,0.8645833333333334,0.5907473309608541
32,10,80,10,5,1,0.9232861806311208,0.7986901080415161,0.7116564417177914,0.6786140268176001,0.7986901080415161,0.8365384615384616,0.6192170818505338
32,10,80,10,5,1.5,0.9145810663764962,0.7760532733585209,0.6735966735966735,0.6380407496114802,0.776053273358521,0.81,0.5765124555160143
32,10,80,10,10,0.5,0.926006528835691,0.795921072781172,0.7154811715481173,0.6885190344096332,0.7959210727811721,0.868020304568528,0.608540925266904
32,10,80,10,10,1,0.9314472252448314,0.8137146670872217,0.7418032786885246,0.7142498081044516,0.8137146670872217,0.8743961352657005,0.6441281138790036
32,10,80,10,10,1.5,0.9238302502720348,0.8077606127304768,0.7200000000000001,0.6837463453924505,0.8077606127304768,0.821917808219178,0.6405693950177936
32,10,80,10,20,0.5,0.9178454842219804,0.7838129718388085,0.6873706004140786,0.6531190762270949,0.7838129718388086,0.8217821782178217,0.5907473309608541
32,10,80,10,20,1,0.9162132752992383,0.7770166644953225,0.6778242677824268,0.6445341812299353,0.7770166644953225,0.8223350253807107,0.5765124555160143
32,10,80,10,20,1.5,0.9303590859630033,0.8159888644326964,0.7408906882591093,0.7105305501666654,0.8159888644326964,0.8591549295774648,0.6512455516014235
32,10,80,20,5,0.5,0.9238302502720348,0.7873454060070808,0.7033898305084746,0.6777479877847725,0.7873454060070809,0.8691099476439791,0.5907473309608541
32,10,80,20,5,1,0.9254624591947769,0.7970581714539092,0.7151767151767152,0.6865892807092753,0.7970581714539092,0.86,0.6120996441281139
32,10,80,20,5,1.5,0.9341675734494015,0.8342772966536157,0.762278978388998,0.7298842323219367,0.8342772966536157,0.8508771929824561,0.6903914590747331
32,10,80,20,10,0.5,0.926550598476605,0.799158661263448,0.7193347193347193,0.6914441338190548,0.799158661263448,0.865,0.6156583629893239
32,10,80,20,10,1,0.9211099020674647,0.7842815250607404,0.6947368421052631,0.6659234782332553,0.7842815250607404,0.8505154639175257,0.5871886120996441
32,10,80,20,10,1.5,0.9238302502720348,0.8033859255754634,0.7165991902834007,0.6821916620352012,0.8033859255754633,0.8309859154929577,0.6298932384341637
32,10,80,20,20,0.5,0.9216539717083787,0.7933520297497012,0.7037037037037037,0.670728154256107,0.7933520297497012,0.8341463414634146,0.608540925266904
32,10,80,20,20,1,0.926550598476605,0.799158661263448,0.7193347193347193,0.6914441338190548,0.799158661263448,0.865,0.6156583629893239
