Dimension,Epochs,Length_of_Walk,Num_Walks,Context_Size,Return_Hyperparam,Accuracy,Balanced_Accuracy,F1_Score,Matthews_Corrcoef,Roc_Auc,Precision,Recall
32,5,80,10,5,0.5,0.8968985750209556,0.8065311113874726,0.7308533916849016,0.677018417784847,0.8065311113874726,0.8391959798994975,0.6472868217054264
32,5,80,10,5,1,0.8826487845766974,0.7834079509182108,0.6916299559471366,0.629770146126896,0.7834079509182108,0.8010204081632653,0.6085271317829457
32,5,80,10,5,1.5,0.8935456831517183,0.8015856236786469,0.7221006564551423,0.6660955909022888,0.8015856236786469,0.8291457286432161,0.6395348837209303
32,5,80,10,10,0.5,0.8985750209555742,0.8061974049662148,0.7328918322295807,0.6818119102964054,0.8061974049662148,0.8512820512820513,0.6434108527131783
32,5,80,10,10,1,0.8801341156747695,0.7775939974298387,0.6829268292682926,0.6206933185787695,0.7775939974298387,0.7979274611398963,0.5968992248062015
32,5,80,10,10,1.5,0.8876781223805532,0.7936326327571197,0.7074235807860262,0.6472325512125803,0.7936326327571198,0.81,0.627906976744186
32,5,80,10,20,0.5,0.8843252305113161,0.7886871450482942,0.6986899563318777,0.6363315808513559,0.7886871450482942,0.8,0.6201550387596899
32,5,80,10,20,1,0.9077954735959766,0.8247087841479086,0.7608695652173914,0.7128976442531542,0.8247087841479085,0.8663366336633663,0.6782945736434108
32,5,80,10,20,1.5,0.9002514668901928,0.8128798242341333,0.7407407407407407,0.6882866534887307,0.8128798242341333,0.845771144278607,0.6589147286821705
32,5,80,20,5,0.5,0.8901927912824812,0.7924304605563155,0.7095343680709534,0.6538672835031082,0.7924304605563156,0.8290155440414507,0.6201550387596899
32,5,80,20,5,1,0.8977367979882649,0.8084690958835966,0.7336244541484717,0.6799354622962535,0.8084690958835966,0.84,0.6511627906976745
32,5,80,20,5,1.5,0.8901927912824812,0.7952369108319861,0.7120879120879121,0.654716859174404,0.7952369108319861,0.8223350253807107,0.627906976744186
32,5,80,20,10,0.5,0.8952221290863369,0.7942357915682129,0.7178329571106095,0.6693064713184731,0.7942357915682129,0.8594594594594595,0.6162790697674418
32,5,80,20,10,1,0.8985750209555742,0.8188264312067322,0.743099787685775,0.6854837002943763,0.8188264312067322,0.8215962441314554,0.6782945736434108
32,5,80,20,10,1.5,0.8952221290863369,0.8040583675330597,0.7264770240700218,0.6715570043435678,0.8040583675330598,0.8341708542713567,0.6434108527131783
32,5,80,20,20,0.5,0.8910310142497905,0.7887555445010985,0.7072072072072072,0.6553974974067784,0.7887555445010985,0.8440860215053764,0.6085271317829457
32,5,80,20,20,1,0.8868398994132439,0.7945010985366663,0.7071583514099783,0.6453078629627218,0.7945010985366663,0.8029556650246306,0.6317829457364341
32,5,80,20,20,1.5,0.9103101424979044,0.8221033868092691,0.7627494456762749,0.7202152133517856,0.8221033868092691,0.8911917098445595,0.6666666666666666
32,5,120,10,5,0.5,0.8935456831517183,0.8001823985408116,0.7208791208791209,0.6656839641027257,0.8001823985408116,0.8324873096446701,0.6356589147286822
32,5,120,10,5,1,0.8935456831517183,0.7945694979894706,0.7158836689038031,0.6642562818437172,0.7945694979894706,0.8465608465608465,0.6201550387596899
32,5,120,10,5,1.5,0.8985750209555742,0.8047941798283795,0.7317073170731707,0.6815122542733905,0.8047941798283795,0.8549222797927462,0.6395348837209303
32,5,120,10,10,0.5,0.8910310142497905,0.7859490942254279,0.7045454545454546,0.6548217671435412,0.785949094225428,0.8516483516483516,0.6007751937984496
32,5,120,10,10,1,0.8935456831517183,0.8015856236786469,0.7221006564551423,0.6660955909022888,0.8015856236786469,0.8291457286432161,0.6395348837209303
32,5,120,10,10,1.5,0.8985750209555742,0.8076006301040501,0.7340659340659341,0.6821346214952081,0.8076006301040501,0.8477157360406091,0.6472868217054264
32,5,120,10,20,0.5,0.892707460184409,0.7912282883555113,0.7117117117117117,0.6610099615300569,0.7912282883555114,0.8494623655913979,0.6124031007751938
32,5,120,10,20,1,0.8868398994132439,0.7790656220204784,0.69248291571754,0.6405048897950643,0.7790656220204785,0.8397790055248618,0.5891472868217055
32,5,120,10,20,1.5,0.8943839061190276,0.803523608174771,0.7248908296943233,0.6690344919350291,0.803523608174771,0.83,0.6434108527131783
32,5,120,20,5,0.5,0.901089689857502,0.823237159557269,0.75,0.6936952220975605,0.823237159557269,0.8271028037383178,0.686046511627907
32,5,120,20,5,1,0.8876781223805532,0.7978423081706256,0.7112068965517241,0.6488433477673999,0.7978423081706256,0.8009708737864077,0.6395348837209303
32,5,120,20,5,1.5,0.9111483654652137,0.8324607221324047,0.771551724137931,0.7242588511836933,0.8324607221324047,0.8689320388349514,0.6937984496124031
32,5,120,20,10,0.5,0.8960603520536463,0.8031899017535132,0.7268722466960353,0.6737282709002507,0.8031899017535132,0.8418367346938775,0.6395348837209303
32,5,120,20,10,1,0.90360435875943,0.8150188616672884,0.7472527472527473,0.6985852788876904,0.8150188616672883,0.8629441624365483,0.6589147286821705
32,5,120,20,10,1.5,0.8826487845766974,0.7791982755047051,0.6874999999999999,0.628248005617414,0.779198275504705,0.8105263157894737,0.5968992248062015
32,5,120,20,20,0.5,0.8943839061190276,0.814749409277453,0.7341772151898734,0.6730330951044132,0.814749409277453,0.8055555555555556,0.6744186046511628
32,5,120,20,20,1,0.8868398994132439,0.7860817477096547,0.6993318485523385,0.6423700143141335,0.7860817477096547,0.8219895287958116,0.6085271317829457
32,5,120,20,20,1.5,0.9002514668901928,0.8142830493719686,0.7418655097613882,0.6886538758713062,0.8142830493719686,0.8423645320197044,0.6627906976744186
32,10,80,10,5,0.5,0.892707460184409,0.7912282883555113,0.7117117117117117,0.6610099615300569,0.7912282883555114,0.8494623655913979,0.6124031007751938
32,10,80,10,5,1,0.8868398994132439,0.7734527214691373,0.6867749419953597,0.6394473127089839,0.7734527214691373,0.8554913294797688,0.5736434108527132
32,10,80,10,5,1.5,0.8851634534786254,0.7808025535795713,0.6921348314606741,0.6359557719498046,0.7808025535795713,0.8235294117647058,0.5968992248062015
32,10,80,10,10,0.5,0.8860016764459346,0.7785308626621896,0.690909090909091,0.6378340598927875,0.7785308626621897,0.8351648351648352,0.5891472868217055
32,10,80,10,10,1,0.8910310142497905,0.791561994776769,0.7098214285714286,0.6560686716320825,0.791561994776769,0.8368421052631579,0.6162790697674418
